message_id,sent_time,messages_sent_in_day
1970268.0,2017-04-05,4.06
2575515.0,2017-07-13,4.06
2610242.0,2017-07-17,4.06
2926234.0,2017-08-20,3.9
3110458.0,2017-09-06,4.0
3130002.0,2017-09-08,4.06
3255637.0,2017-09-18,4
3387239.0,2017-09-29,3.9
3447200.0,2017-10-03,3.9
3861761.0,2017-11-05,4.02
3949012.0,2017-11-12,3.9
4082149.0,2017-11-21,4.06
4155079.0,2017-11-27,.4
4348242.0,2017-12-12,4.06
4495880.0,2017-12-26,.1
4569256.0,2017-01-01,4.02
4583204.0,2017-01-02,4.0
4621515.0,2017-01-04,4.0
4678673.0,2017-01-07,3.9
4743194.0,2017-01-10,3.9
4761212.0,2017-01-11,4.06
4831117.0,2017-01-14,1.7
4882719.0,2017-01-17,3.9
4993390.0,2017-01-23,4.06
5025999.0,2017-01-24,4
5116854.0,2017-01-29,4.02
5245310.0,2017-02-05,4.06
5322663.0,2017-02-09,3.9
5359655.0,2017-02-11,1
5796069.0,2017-03-01,3.8
5851670.0,2017-03-04,4.0
5851896.0,2017-03-05,3.9
5853612.0,2017-03-06,1.6
5948879.0,2017-03-07,1.9
6023444.0,2017-03-11,4.0
6090357.0,2017-03-14,3.9
6144796.0,2017-03-16,4.06
6174973.0,2017-03-18,3.9
6323260.0,2017-03-25,4.06
6366507.0,2017-03-27,.4
6534141.0,2017-04-02,3.9
6616172.0,2017-04-06,3.9
6688595.0,2017-04-08,4.06
6922048.0,2017-04-18,4.0
7041460.0,2017-04-23,4.0
7067217.0,2017-04-24,3.9
7096079.0,2017-04-25,3.9
7300262.0,2017-05-03,4.0
7336120.0,2017-05-05,4.06
7398366.0,2017-05-07,3.9
7599527.0,2017-05-11,3.9
7604054.0,2017-05-15,4.02
7625589.0,2017-05-16,4.06
7648767.0,2017-05-17,3.9	
7655490.0,2017-05-18,4
7656367.0,2017-05-19,1.1
7741827.0,2017-05-21,3.9
7759564.0,2017-05-24,4
7796184.0,2017-05-25,3.9
7796654.0,2017-05-26,4
7824266.0,2017-05-27,4.06
7832111.0,2017-05-28,.4
7835265.0,2017-05-29,4
8042720.0,2017-06-02,4.06
8153484.0,2017-06-05,4.0
8155267.0,2017-06-06,3.9
8168868.0,2017-06-07,3.9
8294471.0,2017-06-12,3.9
8339875.0,2017-06-14,4.06
8394042.0,2017-06-16,3.9
8471153.0,2017-06-19,4.0
8590893.0,2017-06-24,3.9
8623911.0,2017-06-25,3.9
8693067.0,2017-06-27,3.9
8694404.0,2017-06-28,4
8723754.0,2017-06-29,3.9
8746370.0,2017-06-30,3.9
8837073.0,2017-07-03,4.06
8865344.0,2017-07-04,.4
8941709.0,2017-07-08,3.9
8994291.0,2017-07-09,3.9
9128987.0,2017-07-14,4.06
9159831.0,2017-07-15,3.9
9204944.0,2017-07-16,3.9
9210923.0,2017-06-17,3.9
9266018.0,2017-07-18,3.9
9266231.0,2017-07-19,4
9324786.0,2017-07-21,4.06
9341950.0,2017-07-23,4
9486548.0,2017-07-25,3.9
9588570.0,2017-07-26,3.9
9592865.0,2017-07-27,4
9593086.0,2017-07-28,1
9623321.0,2017-07-30,3.9
9688607.0,2017-08-01,3.9
9707213.0,2017-08-02,4
9788944.0,2017-08-04,3.9
9936524.0,2017-08-09,4.06
10008718.0,2017-08-11,4.06
10010036.0,2017-08-12,3.9
10013367.0,2017-08-13,4
10092951.0,2017-08-14,3.9
10180489.0,2017-08-17,3.9
10263094.0,2017-08-19,4.52
10286186.0,2017-08-20,4.06
10323615.0,2017-08-21,3.9
10324019.0,2017-08-22,4
10337486.0,2017-08-23,1
10538427.0,2017-08-28,3.9
10544930.0,2017-08-29,4
10636490.0,2017-09-01,4.06
10662893.0,2017-09-02,4.06
10689638.0,2017-09-03,.4
10720808.0,2017-09-04,4.06
10727816.0,2017-09-05,4
10827838.0,2017-09-06,3.9
10868207.0,2017-09-08,3.9
10901991.0,2017-09-09,4.06
10902800.0,2017-09-10,4
11042358.0,2017-09-13,.4
11067087.0,2017-09-14,4.06
11092456.0,2017-09-15,3.9
11095545.0,2017-09-16,4
11112536.0,2017-09-17,1
11155241.0,2017-09-18,4.06
11200021.0,2017-09-19,4.06
11330013.0,2017-09-22,3.9
11396324.0,2017-09-24,4.06
11438062.0,2017-09-25,4.06
11497501.0,2017-09-27,3.9
11523569.0,2017-09-28,4.52
11577380.0,2017-09-30,3.9
11643442.0,2017-10-01,3.9
11675126.0,2017-10-02,4
11686638.0,2017-10-03,4.06
11761527.0,2017-10-06,3.9
11797089.0,2017-10-07,3.9
11806540.0,2017-10-08,4
11890577.0,2017-10-10,4.06
11913225.0,2017-10-10,4
11925201.0,2017-10-11,4.06
12054268.0,2017-10-15,3.9
12109954.0,2017-10-17,3.9
12287440.0,2017-10-23,4.06
12299908.0,2017-10-23,4
12338351.0,2017-10-24,4.06
12479671.0,2017-10-29,3.9
12493743.0,2017-10-31,.4
12599551.0,2017-11-02,4.06
12640897.0,2017-11-03,3.9
12652971.0,2017-11-04,3.9
12721270.0,2017-11-06,3.9
12772615.0,2017-11-07,4.06
12824087.0,2017-11-09,4.06
12883125.0,2017-11-10,4.06
12929179.0,2017-11-11,3.9
12950733.0,2017-11-12,4
12981403.0,2017-11-13,3.9
12985451.0,2017-11-17,4
13013572.0,2017-11-14,3.9
13049151.0,2017-11-15,4.06
13158802.0,2017-11-18,4.06
13164116.0,2017-11-19,4
13305423.0,2017-11-24,.4
13379133.0,2017-11-26,4.06
13396485.0,2017-11-27,.4
13417044.0,2017-11-29,3.9
13458111.0,2017-12-01,3.9
13471784.0,2017-12-01,4
13550106.0,2017-12-03,4.06
13603989.0,2017-12-04,3.9
13616791.0,2017-12-05,3.9
13641139.0,2017-12-06,4.06
13764774.0,2017-12-09,4.06
13770570.0,2017-12-10,4
13817837.0,2017-12-11,4.06
13827630.0,2017-12-12,3.9
13844164.0,2017-12-13,4
13844618.0,2017-12-14,1
13900230.0,2017-12-15,4.06
13955071.0,2017-12-16,3.9
14004909.0,2017-12-18,4.06
14078099.0,2017-12-21,4.06
14218315.0,2017-12-28,.4

